class,precision,recall,f1-score,support
fire,0.972972972972973,0.9818181818181818,0.9773755656108597,220.0
logging,0.5833333333333334,0.8115942028985508,0.6787878787878788,69.0
natural sound,0.8829787234042553,0.8097560975609757,0.8447837150127226,205.0
poaching,0.9493670886075949,0.8241758241758241,0.8823529411764706,91.0
accuracy,0.8769230769230769,0.8769230769230769,0.8769230769230769,0.8769230769230769
macro avg,0.8471630295795392,0.8568360766133831,0.8458250251469829,585.0
weighted avg,0.8918070041285769,0.8769230769230769,0.8809124227272133,585.0
